rentrak_title_id,title_name,year,week,studio,genre,screen_number,sequel,gbo,opening,lead_actor,supporting_actor,producer,director,synopsis
810124,When in Rome,2010,5,Disney,Comedy,2456,0,32680633,12350041,"Danny DeVito,Josh Duhamel,Kristen Bell",,Andrew Panay/Ezra Swerdlow/Gary Foster/Rikki Lea Bestall,Mark Steven Johnson," Kristen Bell steps into the romantic comedy realm with When in Rome, a Buena Vista production following a lonely woman's good fortune with the opposite sex after swiping a few coins from a wishing fountain while on a vacation in Rome. Mark Steven Johnson directs from a script by David Diamond and David Weissman, with Danny DeVito, Jon Heder, and Dax Shepard co-starring as some of the hopeful suitors.more "
810250,Dear John,2010,6,Sony,Drama,2969,0,80014842,30468614,"Amanda Seyfried,Channing Tatum",,Marty Bowen/Wyck Godfrey,Lasse Hallstrom," ""Dear John"" tells story of John Tyree, a young soldier home on leave, and Savannah Curtis, the idealistic college student he falls in love with during her spring vacation. Over the next seven tumultuous years, the couple is separated by John's increasingly dangerous deployments. While meeting only sporadically, they stay in touch by sending a continuous stream of love letters overseas -- correspondence that eventually triggers fateful consequences.more "
810323,From Paris with Love,2010,6,Other,Action,2722,0,24077427,8158860,"John Travolta,Jonathan Rhys Meyers",,India Osborne/Luc Besson,Pierre Morel," This action film, directed by Pierre Morel (Taken), concerns young CIA agent James Reece (Jonathan Rhys-Meyers) who has a cushy day job but dreams of an exciting life in the field. When the agency offers him his first big-time assignment, James must team with crazed lone wolf Charlie Wax (John Travolta) to stop a terrorist bombing plot. Although James is initially in way over his head, he soon realizes that he needs to trust Charlie if he wants to live his dream and save his own life, because the bad guys not only want to cause damage to the city, but want James killed. ~ Perry Seibert, Rovimore "
811526,Crazy Heart,2010,6,Fox,Drama,819,0,39464306,3567671,"Jeff Bridges,Colin Farrell","Maggie Gyllenhaal,Robert Duvall",Jeff Bridges/Scott Cooper,Scott Cooper," Bad Blake is a broken-down, hard-living country music singer who's had way too many marriages, far too many years on the road and one too many drinks way too many times. And yet, Bad can't help but reach for salvation with the help of Jean, a journalist who discovers the real man behind the musician. As he struggles down the road of redemption, Bad learns the hard way just how tough life can be on one man's crazy heart.more "
810781,Valentine's Day,2010,7,WB,Comedy,3665,0,110485654,56260707,"Anne Hathaway,Bradley Cooper,Julia Roberts","Eric Dane,George Lopez,Taylor Lautner,Topher Grace,Kathy Bates,Jessica Biel,Hector Elizondo,Queen Latifah,Jennifer Garner,Patrick Dempsey,Shirley MacLaine,Jessica Alba,Emma Roberts,Ashton Kutcher,Jamie Foxx",Josie Rosen/Mike Karz/Wayne Allan Rice,Garry Marshall," Gary Marshall's ensemble romantic comedy Valentine's Day follows nearly two dozen people as they find and lose love in all its many forms over the course of the title holiday. The numerous characters include a very busy florist (Ashton Kutcher) and his schoolteacher best friend (Jennifer Garner). She's having an affair with a married doctor (Patrick Dempsey). Meanwhile, a businessman (Bradley Cooper) and a military captain (Julia Roberts) on leave share a long conversation during an international flight. There's also an elderly couple (Hector Elizondo and Shirley MacLaine) who are caring for their elementary school-age grandson, who is pining for a classmate and missing his mother. The huge cast also includes Jamie Foxx as a local TV personality, Topher Grace, Queen Latifah, and Anne Hathaway. ~ Perry Seibert, Rovimore "
806369,The Wolfman,2010,7,Universal,Horror,3222,0,61979680,31479235,"Anthony Hopkins,Benicio Del Toro,Emily Blunt","Asa Butterfield,Gemma Whelan,David Schofield,Elizabeth Croft,Hugo Weaving,Art Malik,David Sterne,Simon Merrells,Geraldine Chaplin",Benicio del Toro/Rick Yorn/Scott Stuber/Sean Daniel,Joe Johnston," Lawrence Talbot's childhood ended the night his mother died. After he left the sleepy Victorian hamlet of Blackmoor, he spent decades trying to forget. When his brother's fianc̩e, Gwen Conliffe, tracks him down to help find her missing love, Talbot returns home to join the search. He learns that something with brute strength and insatiable bloodlust has been killing the villagers. As he pieces together the gory puzzle, he hears of an ancient curse that turns the afflicted into werewolves when the moon is full. Talbot must destroy the vicious creature in the woods surrounding Blackmoor, but as he hunts for the nightmarish beast, a simple man with a tortured past will uncover a primal side to himself -- one he never imagined existed.more "
807875,Percy Jackson & The Olympians: The Lightning Thief,2010,7,Fox,Adventure,3356,0,88768303,31236067,"Logan Lerman,Sean Bean,Uma Thurman","Jake Abel,Joe Pantoliano,Rosario Dawson,Brandon T. Jackson,Steve Coogan,Catherine Keener,Kevin McKidd,Alexandra Daddario,Pierce Brosnan,Alexis Knapp",Chris Columbus/Karen Rosenfelt/Mark Radcliffe/Michael Barnathan,Chris Columbus, A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.more 
807964,Shutter Island,2010,8,Paramount,Suspense,2991,0,128012934,41062440,"Emily Mortimer,Leonardo DiCaprio,Mark Ruffalo","Michelle Williams,Patricia Clarkson,Sir Ben Kingsley,Max von Sydow,Jackie Earle Haley,Ruby Jerins,Elias Koteas",Arnold Messer/Brad Fischer/Martin Scorsese/Mike Medavoy,Martin Scorsese," Martin Scorsese and Leonardo DiCaprio team up for a fourth time for this adaptation of Shutter Island, a novel by Dennis Lehane (Mystic River). The film opens in 1954 as World War II veteran and current federal marshal Teddy Daniels (Leonardo DiCaprio) and his new partner, Chuck (Mark Ruffalo), ferry to Shutter Island, a water-bound mental hospital housing the criminally insane. They have been asked to investigate the disappearance of Rachel Solando (Emily Mortimer), a patient admitted to the asylum after she murdered her three children. As Teddy quizzes Dr. Cawley (Ben Kingsley), the head of the institution, he begins to suspect that the authorities in charge might not be giving him the whole truth, and that a terrible fate may befall all the patients in the spooky Ward C -- a unit devoted to the most heinous of the hospital's inmates. Complicating matters further, Teddy has a secret of his own -- the arsonist who murdered his wife is incarcerated on Shutter Island. Driven to confront his wife's killer, and stranded on the island because of a hurricane, Teddy must unravel the secrets of the eerie place before succumbing to his own madness. Max von Sydow, Emily Mortimer, Michelle Williams, Patricia Clarkson, and Jackie Earle Haley round out the supporting cast. ~ Perry Seibert, Rovimore "
810206,Cop Out,2010,9,WB,Comedy,3150,0,44875481,18211126,"Adam Brody,Bruce Willis,Tracy Morgan",,Marc E. Platt/Michael Tadross/Polly Cohen Johnsen,Kevin Smith," Bruce Willis and Tracy Morgan team up for the Warner Bros. police buddy movie Cop Out in this Kevin Smith-directed production. From a script by Robb and Mark Cullen, the story centers around police detectives Jimmy (Willis), a no-B.S. divorced dad, and Paul (Morgan), a crazy-talking loose cannon. Despite nine years as partners, the two lawmen can still sometimes seem like polar opposites -- especially when Paul's unpredictable antics get them suspended without pay. Already strapped for cash and trying to pay for his daughter's wedding, Jimmy decides to sell a rare baseball card that's worth tens of thousands. Unfortunately, when the collector's shop is robbed and the card vanishes with the crook, Paul and Jimmy end up going rogue, tracking down the card and the drug ring behind its theft, all on their own time, and without any backup -- except for each other. ~ Cammila Collar, Rovimore "
809431,The Crazies,2010,9,Other,Horror,2476,0,39123589,16067552,"Joe Anderson,Radha Mitchell,Timothy Olyphant",,Dean Georgaris/Michael Aguilar,Breck Eisner," David Dutten is sheriff of Ogden Marsh, a picture-perfect American. But one night, one of them comes to a school baseball game with a loaded shotgun, ready to kill. Another man burns down his own house, after locking his wife and young son in a closet inside. Something is infecting the citizens of Ogden Marsh -- with insanity. In an effort to keep the madness contained, the government uses deadly force to close off all access and won't let anyone in or out -- even those uninfected. The few still sane find themselves trapped: Forced to band together, an ordinary night becomes a horrifying struggle for survival as they do their best to get out of town alive.more "
808001,Alice in Wonderland (2010),2010,10,Disney,Adventure,3728,0,334191110,116101023,"Anne Hathaway,Johnny Depp,Mia Wasikowska","Michael Sheen,Helena Bonham Carter,Timothy Spall,Crispin Glover,Stephen Fry,Frances De La Tour,Christopher Lee,Noah Taylor,Alan Rickman",Jennifer Todd/Joe Roth/Richard D. Zanuck/Suzanne Todd/Tim Burton,Tim Burton," Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.more "
811420,Brooklyn's Finest,2010,10,Other,Drama,1936,0,27163593,13350299,"Don Cheadle,Ethan Hawke,Richard Gere",,Elie Cohen/Basil Iwanyk/John Langley/Joe Napolitano/Kat Samick/John Thompson,Antoine Fuqua," Burned out veteran Eddie Dugan is just one week away from his pension and a fishing cabin in Connecticut. Narcotics officer Sal Procida has discovered there's no line he won't cross to provide a better life for his long-suffering wife and seven children. And Clarence ""Tango"" Butler has been undercover so long his loyalties have started to shift from his fellow police officers to his prison buddy Caz, one of Brooklyn's most infamous drug dealers. When NYPD's Operation Clean Up targets the notoriously drug-ridden BK housing project, all three officers find themselves swept away by the violence and corruption of Brooklyn's gritty 65th Precinct and its most treacherous criminals.more "
810980,Green Zone,2010,11,Universal,Action,3003,0,35053660,14309295,"Amy Ryan,Greg Kinnear,Matt Damon",,Eric Fellner/Lloyd Levin/Tim Bevan,Paul Greengrass," United 93 director Paul Greengrass explores the aftermath of the Iraq invasion in this feature adaptation of author Rajiv Chandrasekaran's literary expos̩ Imperial Life in the Emerald City: Inside Iraq's Green Zone. A onetime Baghdad bureau chief of the Washington Post, Chandrasekaran was present as American forces attempted to set up a provisional government on the grounds surrounding former Iraqi dictator Saddam Hussein's opulent palace. The resulting governing body, according to critics, existed in a bubble so far-removed from the grim realities of the Iraq War that it failed to properly assess the needs of the people. In this fictional thriller set during the U.S.-led occupation of Baghdad, director Greengrass and screenwriter Brian Helgeland use Chandrasekaran's journalistic account as the foundation for the story of an officer who joins forces with a senior CIA officer to unearth evidence of weapons of mass destruction in Iraq.Chief Warrant Officer Roy Miller (Matt Damon) is certain that Hussein has been stockpiling WMDs in the Iraqi desert, but in their race from one empty site to the next, they soon stumble across evidence of an elaborate cover up. As a result, Miller realizes that operatives on both sides of the conflict are attempting to spin the story in their favor. Now, as Miller searches for answers made ever more elusive by covert and faulty intelligence, the truth becomes the most valuable weapon of all. Will those answers prove pivotal in clearing a rogue regime, or escalate the war in a region that grows increasingly unstable with each passing day? Amy Ryan co-stars as the New York Times foreign correspondent who travels to Iraq investigating the U.S. government's allegations about weapons of mass destruction, with Greg Kinnear appearing in the role of an additional CIA officer, and Antoni Corone essaying the role of a colonel. Brendan Gleeson rounds out the main cast for this Universal Pictures production. ~ Jason Buchanan, Rovimore "
810879,She's Out of My League,2010,11,Paramount,Comedy,2956,0,32010860,9775278,"Alice Eve,Jay Baruchel,T.J. Miller","Nate Torrence,Lindsay Sloane,Debra Jo Rupp,Kim Shaw,Jasika Nicole,Mike Vogel,Geoff Stults,Krysten Ritter",David Householter/Jimmy Miller,Jim Field Smith," Kirk, an average Joe, can't believe his luck. He's stuck in a seemingly dead-end job as an airport security agent. Against all odds, Molly, a successful and outrageously gorgeous babe, falls for him. Kirk is stunned. So are his friends, his family and even his ex-girlfriend. Now, he has to figure out how to make the relationship work, even though he'd be the first to admit she's totally out of his league.more "
810616,Remember Me,2010,11,Other,Drama,2212,0,19068240,8089139,"Emilie de Ravin,Robert Pattinson",,Nick Osborne,Allen Coulter," Tyler, a rebellious young man in New York City, has had a strained relationship with his father ever since tragedy separated their family. Tyler didn't think anyone could possibly understand what he was going through until the day he met Ally through an unusual twist of fate. Love was the last thing on his mind, but as her spirit unexpectedly heals and inspires him, he begins to fall for her. Through their love, he begins to find happiness and meaning in his life. But, soon, hidden secrets are revealed, and the circumstances that brought them together slowly threaten to tear them apart.more "
810991,Our Family Wedding,2010,11,Fox,Comedy,1605,0,20255281,7629862,"America Ferrera,Carlos Mencia,Forest Whitaker",,Edward Saxon/Steven J. Wolfe,Rick Famuyiwa," Lucia and Marcus learn the hard way that the path to saying ""I do"" can be rife with familial strife. When they return from college and suddenly announce their marriage plans, they discover that their competitive and egotistical fathers can wreak serious havoc on their special day. With insults flying and tempers running high, it's anyone's guess if the alpha dads will survive to make it down the aisle. Lucia's mother is planning ""her"" dream wedding and the only levelheaded one in the bunch is Angela, the groom's father's best friend and lawyer. With only weeks to plan their wedding, Lucia and Marcus soon discover the true meaning of love and find there is truth to the saying - that when you marry someone, you marry their entire family.more "
810524,Diary of a Wimpy Kid,2010,12,Fox,Family,3077,0,64003625,22126166,"Robert Capron,Steve Zahn,Zachary Gordon","Alexis Ferris,Devon Bostick,Owen Best,Chloe Grace Moretz,Rachael Harris",Brad Simpson/Nina Jacobson,Thor Freudenthal," Meet the kid who made ""wimpy"" cool in a family comedy based on the best-selling illustrated novel Diary of a Wimpy Kid by Jeff Kinney, the first in a series that has thus far sold 24 million copies. ""Diary of a Wimpy Kid"" chronicles the adventures of wise-cracking pre-teen Greg Heffley, who must somehow survive the scariest time of anyone's life: middle school.more "
811377,The Bounty Hunter,2010,12,Sony,Comedy,3074,0,67061228,20686423,"Gerard Butler,Jason Sudeikis,Jennifer Aniston",,Neal H. Moritz,Andy Tennant," Hapless bounty hunter Milo Boyd (Gerard Butler) jumps for joy at the prospect of tracking down his bail-skipping ex-wife, Nicole Hurley (Jennifer Aniston), but gets a hard dose of reality when the job proves tougher than anticipated. Every time Milo gets close to resourceful reporter Nicole, she gives him the slip. A high-profile murder has been committed, and Nicole is determined to stay out of jail long enough to crack the case. And she must be getting close, because now someone is trying to take them both out. They may not have been able to make marriage work, but if Milo and Nicole can just stay alive long enough to solve the murder, they might discover they're not such a bad team after all. ~ Jason Buchanan, Rovimore "
810981,Repo Men,2010,12,Universal,Action,2521,0,13794835,6126170,"Forest Whitaker,Jude Law,Liev Schreiber",,Mary Parent/Scott Stuber,Miguel Sapochnik," In the futuristic action-thriller ""Repo Men,"" humans have extended and improved our lives through highly sophisticated and expensive mechanical organs created by a company called The Union. The dark side of these medical breakthroughs is that if you don't pay your bill, The Union sends its highly skilled repo men to take back its property -- with no concern for your comfort or survival. Remy is one of the best organ repo men in the business. But, when he suffers a cardiac failure on the job, he awakens to find himself fitted with the company's top-of-the-line heart-replacement -- as well as a hefty debt. When he can't make the payments, The Union sends its toughest enforcer, Remy's former partner Jake, to track him down.more "
805977,How to Train Your Dragon,2010,13,Paramount,Animation,4055,0,217581231,43732319,"Gerard Butler,Jay Baruchel","Christopher Mintz-Plasse,Kristen Wiig,T.J. Miller,Craig Ferguson,Robin Atkin Downes,America Ferrera,Jonah Hill",Bonnie Arnold,Chris Sanders/Dean DeBlois," The son of a Viking chief must capture a dragon in order to mark his passage into manhood and prove his worthiness to the tribe in directors Chris Sanders and Dean DeBlois' adaptation of Cressida Cowell's popular children's book. Gerard Butler, America Ferrera, Jonah Hill, Jay Baruchel, and Christopher Mintz-Plasse provide voices for the DreamWorks Animation production. ~ Jason Buchanan, Rovimore "
810456,Hot Tub Time Machine,2010,13,Other,Comedy,2754,0,50287556,14020502,"Craig Robinson,John Cusack,Rob Corddry",,Grace Loh/John Cusack/John Morris/Matt Moore,Steve Pink," ""Hot Tub Time Machine"" follows a group of best friends who've become bored with their adult lives: Adam has been dumped by his girlfriend; Lou is a party guy who can't find the party; Nick's wife controls his every move; and video game-obsessed Jacob won't leave his basement. After, a crazy night of drinking in a ski resort hot tub, the men wake up, heads' pounding, in the year 1986. This is their chance to kick some past and change their futures - one will find a new love life, one will learn to stand up for himself with the ladies, one will find his mojo, and one will make sure he still exists!more "
810205,Clash of the Titans (2010),2010,14,WB,Action,3777,0,163214888,61235105,"Liam Neeson,Sam Worthington",,Basil Iwanyk/Kevin De La Noy,Louis Leterrier," The 1981 mythological fantasy adventure Clash of the Titans is resurrected in this remake from Incredible Hulk director Louis Leterrier. Discovered at sea as an infant by a weary fisherman, demigod Perseus (Sam Worthington) grows up with no real knowledge of his celestial origins until his watchful guardian, Io (Gemma Arterton), informs him that he is the offspring of Zeus (Liam Neeson). When Zeus' brother Hades (Ralph Fiennes) casually wipes out Perseus' family, the grieving son vows to show the gods just what kind of damage humankind can inflict on its creators. Before long, Perseus and a small group of soldiers are venturing out into the desert in order to find a way to stop the Kraken, a terrifying force of nature that an indignant Hades has vowed to unleash upon man should they fail to offer up beloved princess Andromeda (Alexa Davalos) as a sacrifice. Along the way, the soldiers encounter a trio of frightening witches with second sight, contend with Hades' devoted servant Calibos (Jason Flemyng), battle giant scorpions, and come face to face with Medusa (Natalia Vodianova), the dreaded gorgon whose gaze has the power to turn men into stone. ~ Jason Buchanan, Rovimore "
810248,Tyler Perry's Why Did I Get Married Too?,2010,14,Other,Comedy,2155,1,60095852,29289537,"Janet Jackson,Michael Jai White,Tyler Perry",,Reuben Cannon/Tyler Perry,Tyler Perry," This sequel to Tyler Perry's Why Did I Get Married reunites the cast from that earlier movie, again playing a group of eight friends who take an annual week-long vacation with each other. As they reconnect, Sheila (Jill Scott) discovers that her ex-husband, Mike, is planning to wreck her new marriage. Their troubles lead to the others facing some uncomfortable truths about their own relationships. The film co-stars Janet Jackson, Malik Yoba, Michael Jai White, and Louis Gossett Jr. ~ Perry Seibert, Rovimore "
810540,The Last Song,2010,14,Disney,Drama,2673,0,62950384,16007426,"Greg Kinnear,Miley Cyrus",,Adam Shankman/Jennifer Gibgot,Julie Anne Robinson," Based on best-selling novelist Nicholas Sparks' forthcoming novel, ""The Last Song"" is set in a small Southern beach town where an estranged father gets a chance to spend the summer with his reluctant teenaged daughter, who'd rather be home in New York. He tries to reconnect with her through the only thing they have in common -- music -- in a story of family, friendship, secrets and salvation, along with first loves and second chances. more "
810525,Date Night,2010,15,Fox,Comedy,3380,0,98711404,25207599,"Steve Carell,Tina Fey","Mark Ruffalo,James Franco,Kristen Wiig,Savannah Paige Rae,Jimmi Simpson,Mila Kunis,Leighton Meester,Olivia Munn,Gal Gadot,Taraji P. Henson,Mark Wahlberg",Shawn Levy/Tom McNulty,Shawn Levy," Steve Carell and Tina Fey star in director Shawn Levy's comedy about a couple whose routine date night becomes anything but when dinner and a movie just won't suffice anymore. Their union in imminent danger of becoming hopelessly monotonous, the desperate couple goes to unprecedented lengths in order to preserve the spark. Mark Wahlberg, James Franco, and Kristen Wiig co-star in the 20th Century Fox production.more "
811186,Kick-Ass,2010,16,Other,Action,3065,0,48071303,19828687,"Aaron Johnson,Chloe Moretz,Mark Strong,Nicolas Cage",,Adam Bohling/Brad Pitt/David Reid/Matthew Vaughn/Tarquin Pack,Matthew Vaughn," Adapted from Mark Millar's hyper-violent comic book of the same name, director Matthew Vaughn's (Layer Cake) vigilante superhero film tells the tale of an average New York teenager who decides to don a costume and fight crime. Comic book geek Dave Lizewski (Aaron Johnson) may not have good coordination or special powers, but that doesn't mean he isn't a fully capable crime fighter. After purchasing a flashy wet suit on the Internet, Dave starts busting up baddies with nothing but brute force. He calls himself Kick-Ass, and he can take a beating as good as he can dish one out. Before long, Kick-Ass has become a local sensation, and others are following his lead. Big Daddy (Nicolas Cage) and Hit-Girl (Chloe Moretz) are a father-daughter crime-fighting duo who have set their sights on local mob heavy Frank D'Amico (Mark Strong). They're doing a decent job of dismantling Frank's sizable underworld empire when Kick-Ass gets drawn into the fray. But Frank's men play rough, and his son, Chris (Christopher Mintz-Plasse), is about to become Kick-Ass' very first arch nemesis. When Chris assumes the persona of Red Mist, the stage is set for a superhero showdown that could spell the end of Kick-Ass once and for all. ~ Jason Buchanan, Rovimore "
